horse_id;horsename;horsenumber;weight;draw;sex;saddle;dam;damby;colour;equipment;equipmentshoes;equipmentheadgear;equipmenttongue;gelded;owner;race_num;raceprogramcode;racedate;race_date_time;month;horse_ref;lengthsbehind;meritrating;race_name;race_description;race_surface;race_class;race_distance;result_pos1;result_pos2;result_pos3;result_pos4;finish_position;jockey_name;venue;last_month_runs;ltwo_month_runs;last_month_wins;last_two_month_wins;perc_win_one_month;perc_win_ltwo_month;last_month_seconds;last_two_month_second;perc_sec_lone_month;perc_sec_ltwo_month;last_month_third;last_two_month_third;perc_third_lone_month;perc_third_ltwo_month;last_month_FOURTH;last_two_month_FOURTH;perc_fourth_lone_month;perc_forth_ltwo_month;Last_month_Tfour_positions;Last_two_month_Tfour_positions;perc_topfor_lone_month;perc_topfor_ltwo_month;trainercurrent;T_ltwo_month_runs;T_perc_win_ltwo_month;T_perc_sec_ltwo_month;T_perc_third_ltwo_month;T_perc_forth_ltwo_month;T_perc_topfor_ltwo_month;breeder;B_venue;B_ltwo_month_runs;B_perc_win_ltwo_month;B_perc_sec_ltwo_month;B_perc_third_ltwo_month;B_perc_forth_ltwo_month;B_perc_topfor_ltwo_month;hj_ltwo_month_runs;hj_ltwo_month_top4;hj_ltwo_month_top3;hj_ltwo_month_top2;hj_ltwo_month_wins;h_ltwo_month_runs;h_ltwo_month_top4;h_ltwo_month_top3;h_ltwo_month_top2;h_ltwo_month_wins;target_win;0;1
372711;LOCK AND KEY;13;60;13;F;13;Double Whammy;Judpot (USA);b;A   ;NA;NA;NA;NULL;Mesdames R B Mardon &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
372712;VARVARA;8;60;8;F;8;Feel My Love (AUS);Fusaichi Pegasus (USA);b;A t ;NA;NA;t;NULL;Kestorm Investments (Nom: Mr Kenneth Pillay);4;WGR;2024/07/28 12:05;2024/07/28 12:05;7;230037;9.10;100;DOUGLAS WHYTE THEKWINI STAKES (Grade 1);For 2 yof R100 000 Win CRS Bonus;Turf;B;1600;12;7;1;2;10;C Orffer;Hollywoodbets Greyville;1;6;0;2;0;33.3333333333333;1;1;100;16.6666666666667;0;1;0;16.6666666666667;0;0;0;0;1;4;100;66.6666666666667;Sean Tarry;0;0;0;0;0;0;Oldlands Stud;Hollywoodbets Greyville;9;11.1111111111111;22.2222222222222;0;0;33.3333333333333;0;0;0;0;0;3;3;2;2;1;0;0.76;0.24
372713;SCARS OF WAR;5;60;5;F;5;Eliza Doolittle;Judpot (USA);gr;A   ;NA;NA;NA;NULL;Mr I Levitan;4;WGR;2024/07/28 12:05;2024/07/28 12:05;7;229367;9.80;93;DOUGLAS WHYTE THEKWINI STAKES (Grade 1);For 2 yof R100 000 Win CRS Bonus;Turf;B;1600;12;7;1;2;10;C Habib;Hollywoodbets Greyville;24;46;1;3;4.16666666666667;6.52173913043478;1;27;4.16666666666667;8.69565217391304;2;3;8.33333333333333;6.52173913043478;5;7;20.8333333333333;15.2173913043478;9;17;37.5;36.9565217391304;Tony Peter;0;0;0;0;0;0;Narrow Creek Stud;Hollywoodbets Greyville;12;8.33333333333333;0;8.33333333333333;25;41.6666666666667;2;2;1;1;0;3;3;2;2;1;0;0.822;0.178
372714;SORCERESS SUPREME;3;60;3;F;3;Chillon;Silvano (GER);ch;A   ;NA;NA;NA;NULL;Messrs D Chinsammy, Kenny Govender, E Naicker &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
372715;HONORABLE MEMBER;10;60;10;F;10;Just Chaos;Just As Well (USA);b;A   ;NA;NA;NA;NULL;Jan &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
372716;VISIONOFPEACE;6;60;6;F;6;Lisa Anne;Rambo Dancer (CAN);b;A   ;NA;NA;NA;NULL;Messrs T J Barnard &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
372717;FORWARD MOTION;11;60;11;F;11;Miss Scaramanga;Second Empire (IRE);b;A   ;NA;NA;NA;NULL;Mr J E Finlayson;4;WGR;2024/07/28 12:05;2024/07/28 12:05;7;229759;0.00;88;DOUGLAS WHYTE THEKWINI STAKES (Grade 1);For 2 yof R100 000 Win CRS Bonus;Turf;B;1600;12;7;1;2;10;M Yeni;Hollywoodbets Greyville;23;47;2;4;8.69565217391304;8.51063829787234;1;26;4.34782608695652;8.51063829787234;2;4;8.69565217391304;8.51063829787234;3;3;13.0434782608696;6.38297872340426;8;15;34.7826086956522;31.9148936170213;Paul Lafferty;0;0;0;0;0;0;Mr G J Armitage;Hollywoodbets Greyville;18;5.55555555555556;5.55555555555556;11.1111111111111;11.1111111111111;33.3333333333333;0;0;0;0;0;2;1;1;1;1;0;0.874;0.126
372718;VJ&#39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
372719;THE SPECIALIST;2;60;2;C;2;Speciale (USA);War Chant (USA);ch;A   ;NA;NA;NA;NULL;Messrs T Gujadhur, D J Michael, L M Michael, R M Sewgoolam, J F &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
372720;GRAND CRESCENDO;10;60;10;G;10;Sing Dixie Sing;Western Winter (USA);b;A   ;NA;NA;NA;NULL;Messrs L M Nestadt &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
